Teff,xi,muFast,alpha,stdVal,meanVal,u_stdVal,u_meanVal,ur_stdVal,ur_meanVal
4.1452817,0.3945070,0.0967096,0.0007616,0.0388934,0.0262893,0.0559472,0.0231281,0.0972047,0.0413389
4.1592661,0.2646769,0.0975507,0.0006209,0.0488739,0.0393443,0.0568897,0.0241240,0.0896634,0.0464588
4.4177504,0.5810875,0.0847557,0.0008066,0.0333975,0.0173703,0.0478618,0.0207568,0.0985078,0.0393985
4.1355043,0.2924041,0.0628665,0.0008978,0.0420408,0.0393322,0.0330750,0.0053079,0.0957064,0.0285288
5.3790111,0.3631018,0.0788823,0.0006481,0.0410128,0.0351908,0.0437354,0.0188712,0.0964863,0.0460651
4.9192495,0.1538005,0.0774611,0.0004982,0.0489457,0.0543451,0.0411590,0.0152807,0.0856039,0.0479016
4.2278248,0.2494979,0.0388163,0.0006285,0.0426342,0.0374283,0.0211221,0.0023096,0.1024053,0.0245080
3.6698118,0.5725348,0.0779606,0.0008373,0.0289206,0.0151289,0.0391992,0.0151084,0.0911311,0.0383799
4.9229365,0.3624702,0.0571148,0.0009176,0.0380527,0.0359610,0.0295354,0.0045502,0.0906380,0.0351216
4.5887106,0.3900192,0.0749630,0.0007007,0.0364090,0.0303322,0.0383201,0.0152480,0.0831533,0.0482754
5.2381825,0.4405452,0.0930546,0.0009495,0.0391132,0.0293062,0.0538481,0.0237159,0.1521173,0.0516317
5.8456883,0.2988063,0.0640354,0.0008340,0.0418288,0.0448524,0.0374220,0.0105970,0.0999586,0.0433666
4.8134844,0.2442099,0.0724404,0.0007771,0.0465239,0.0466138,0.0380886,0.0124948,0.0813443,0.0467704
5.0098102,0.2904611,0.1098706,0.0005598,0.0475600,0.0410814,0.0686598,0.0248375,0.1017573,0.0468691
4.8573863,0.3537419,0.1092930,0.0006759,0.0432905,0.0344552,0.0654176,0.0259659,0.0970240,0.0492458
4.9441989,0.3131895,0.0645559,0.0007746,0.0412183,0.0402081,0.0347697,0.0082701,0.0764834,0.0386522
5.3880448,0.5640606,0.0705418,0.0009551,0.0314270,0.0213933,0.0360144,0.0146666,0.0858101,0.0474016
3.8198119,0.4597913,0.0508743,0.0005389,0.0266426,0.0210029,0.0250078,0.0015211,0.0753250,0.0232860
3.8775716,0.4369214,0.0770802,0.0008189,0.0329870,0.0220777,0.0383877,0.0153457,0.0820524,0.0408741
3.2339550,0.5019783,0.0991267,0.0007616,0.0364210,0.0189296,0.0549574,0.0209581,0.0924647,0.0313126
4.9855558,0.5995993,0.0675907,0.0009507,0.0274063,0.0167703,0.0365822,0.0118702,0.0787976,0.0471263
4.7057932,0.2469363,0.0890431,0.0005522,0.0501073,0.0417825,0.0679310,0.0184563,0.1559477,0.0438142
5.1948218,0.5348574,0.1004855,0.0006677,0.0388701,0.0260004,0.0595259,0.0235834,0.0957134,0.0389838
4.2417540,0.3416205,0.0781904,0.0005518,0.0405333,0.0335713,0.0401112,0.0155172,0.0814205,0.0466637
4.0994313,0.3836106,0.0558880,0.0005749,0.0347522,0.0309598,0.0285931,0.0038382,0.0745771,0.0239556
4.9951882,0.5732425,0.0805911,0.0006708,0.0310976,0.0179860,0.0449260,0.0222743,0.0947733,0.0420538
4.0843677,0.4798520,0.0760285,0.0010292,0.0341674,0.0194431,0.0378022,0.0161451,0.1661404,0.0120672
3.5609168,0.3479373,0.0654540,0.0006703,0.0361060,0.0312279,0.0350511,0.0038907,0.1117016,0.0253372
4.1324731,0.2406192,0.0603002,0.0006607,0.0464381,0.0455435,0.0313000,0.0036182,0.0987878,0.0215208
4.5476469,0.4345670,0.0524796,0.0006437,0.0309397,0.0264618,0.0272359,0.0034534,0.0708892,0.0228349
3.5937886,0.4479416,0.0824757,0.0007455,0.0345285,0.0187006,0.0425031,0.0202297,0.1241082,0.0270720
4.4361816,0.2999016,0.0911043,0.0006167,0.0459253,0.0366115,0.0534112,0.0220562,0.1113679,0.0464623
5.3174167,0.4954551,0.0790683,0.0005305,0.0329293,0.0223722,0.0436647,0.0194862,0.0941013,0.0418278
4.2690419,0.5182349,0.1034720,0.0005019,0.0391378,0.0223405,0.0592183,0.0232988,0.1350051,0.0553559
4.0492799,0.5198479,0.0346585,0.0006760,0.0208874,0.0120511,0.0169841,0.0002047,0.0717321,0.0186000
4.9719061,0.2381047,0.0703493,0.0009802,0.0467541,0.0493946,0.0381325,0.0110790,0.0754618,0.0433574
4.1483487,0.3095146,0.0828002,0.0007708,0.0439028,0.0364619,0.0453978,0.0216973,0.0813507,0.0453938
